honorificPrefix,identifier,givenName,additionalName,familyName,honorificSuffix,maidenName,alsoKnownAs,address,affiliation,alumniOf,birthDate,birthPlace,deathDate,deathPlace,email,telephone,faxNumber,gender,height,weight,sameAs,status
,,Agnes ,Moulton Coolbrith,Smith,,Coolbrith,,,,,,,,,,,,,,,,
,,Almera ,Woodward ,Johnson,,Johnson,,,,,,,,,,,,,,,,
,,Clarissa ,Reed ,Hancock,,Hancock,,,,,,,,,,,,,,,,
,,Cordelia ,Calista ,Morley,,Morley,,,,,,,,,,,,,,,,
,,Delcena ,,Sherman,,Johnson,,,,,,,,,,,,,,,,
,,Desdemona ,Wadsworth ,Fullmer,,Fullmer,,,,,,,,,,,,,,,,
,Q43374468,Eliza ,Maria Partridge,Lyman,,Partridge,,,,,,,,,,,,,,,,
,Q3051180,Eliza ,Roxcy ,Snow,,Snow,,,,,,,,,,,,,,,,
,,Elizabeth ,Davis Brackenbury, Durfee,,Brackenbury Durfee,,,,,,,,,,,,,,,,
,,Elvira ,Annie ,Cowels,,Holmes,,,,,,,,,,,,,,,,
,Q91157930,Emily ,Dow ,Partridge,,Partridge,,,,,,,,,,,,,,,,
,Q2348210,Emma ,,Smith,,Hale,,,,,,,,,,,,,,,,
,Q1395725,Fanny , ,Alger,,Alger,,,,,,,,,,,,,,,,
,,Fanny ,,Murray,,Young ,,,,,,,,,,,,,,,,
,,Flora ,Ann ,Woodworth,,Woodworth,,,,,,,,,,,,,,,,
,,Hannah , ,Elly,,Elly,,,,,,,,,,,,,,,,
,Q5702756,Helen ,Mar ,Kimball,,Kimball,,,,,,,,,,,,,,,,
,,Jane , ,Tibbets,,Tibbets,,,,,,,,,,,,,,,,
,,Jane , ,Tippets,,Tippets,,,,,,,,,,,,,,,,
,,Louisa , ,Beaman,,Beaman,,,,,,,,,,,,,,,,
,,Lucinda ,Pendleton Morgan,Harris,,Pendleton,,,,,,,,,,,,,,,,
,,Lucy , ,Walker,,Walker,,,,,,,,,,,,,,,,
,,Maria , ,Lawrence,,Lawrence,,,,,,,,,,,,,,,,
,,Marinda ,Nancy ,Johnson,,Hyde,,,,,,,,,,,,,,,,
,,Martha ,,McBride ,,Knight,,,,,,,,,,,,,,,,
,,Mary ,Ann ,Pratt,,Frost,,,,,,,,,,,,,,,,
,,Mary ,Elizabeth Rollins,Lightner,,Lightner,,,,,,,,,,,,,,,,
,,Mary , ,Houston,,Houston,,,,,,,,,,,,,,,,
,,Mary , ,Huston,,Huston,,,,,,,,,,,,,,,,
,,Melissa , ,Lott,,Lott,,,,,,,,,,,,,,,,
,,Nancy ,Maria ,Smith,,Smith,,,,,,,,,,,,,,,,
,,Nancy ,Maria ,Winchester,,Winchester,,,,,,,,,,,,,,,,
,,Olive , ,Andrews,,Andrews,,,,,,,,,,,,,,,,
,,Olive ,Grey ,Frost,,Frost,,,,,,,,,,,,,,,,
,Q7148692,Patty ,Bartlett,Sessions,,Bartlett ,,,,,,,,,,,,,,,,
,,Phoebe ,Watrous ,Woodworth,,Watrous ,,,,,,,,,,,,,,,,
,,Presendia ,Lathrop ,Buell,,Huntington,,,,,,,,,,,,,,,,
,,Rhoda , ,Richards,,Richards,,,,,,,,,,,,,,,,
,,Ruth ,Daggett Vose,Sayers,,Vose,,,,,,,,,,,,,,,,
,,Sally ,Ann ,Fuller,,Fuller,,,,,,,,,,,,,,,,
,Q7422060,Sarah ,Ann ,Whitney,,Whitney,,,,,,,,,,,,,,,,
,,Sarah , ,Bapson,,Bapson,,,,,,,,,,,,,,,,
,,Sarah , ,Lawrence,,Lawrence,,,,,,,,,,,,,,,,
,,Sarah ,Maryetta Kingsley,Cleveland,,Kingsley,,,,,,,,,,,,,,,,
,,Sarah , ,Scott,,Scott,,,,,,,,,,,,,,,,
,,Sophia , ,Sanburn,,Sanburn,,,,,,,,,,,,,,,,
,,Sophia , ,Woodman,,Woodman,,,,,,,,,,,,,,,,
,,Sylvia ,Porter ,Lyon,,Lyon,,,,,,,,,,,,,,,,
,,Vienna , ,Jaques,,Jaques,,,,,,,,,,,,,,,,
,Q8072227,Zina ,Diantha Huntington,Jacobs,,Huntington,,,,,,,,,,,,,,,,
,Q47102,Joseph,,Smith,Jr.,,,,,,,,,,,,,,,,,
,Q6181938,Joseph,,Smith,Sr.,,,,,,,,,,,,,,,,,
,Q4979362,Lucy ,Mack,Smith,,Mack,,,,,,,,,,,,,,,,
,Q2976186,Hyrum,,Smith,,,,,,,,,,,,,,,,,,
,Q4424882,Samuel,Harrison,Smith,,,,,,,,,,,,,,,,,,
,Q4738229,Alvin,,Smith,,,,,,,,,,,,,,,,,,
,Q5292384,Don Carlos,,Smith,,,,,,,,,,,,,,,,,,
,Q8018530,William,,Smith,,,,,,,,,,,,,,,,,,
,Q16030354,Katharine,Smith,Salisbury,,Salisbury,,,,,,,,,,,,,,,,
,Q4738229,Alvin,,Smith,,,,,,,,,,,,,,,,,,
,Q107315481,Lucy ,Smith,Millikin,,Smith,,,,,,,,,,,,,,,,
,Q5344778,Edward,,Partridge,,,,,,,,,,,,,,,,,,
,Q96572814,Lydia,,Partridge,,Clisbee,,,,,,,,,,,,,,,,
,Q4740383,Amasa,,Lyman,,,,,,,,,,,,,,,,,,
,Q3048224,Joseph,,Smith,III,,,,,,,,,,,,,,,,,
,Q6306601,Julia,Murdoch,Smith,,,,,,,,,,,,,,,,,,
,Q4719048,Alexander,Hale,Smith,,,,,,,,,,,,,,,,,,
,Q5235307,David,Hyrum,Smith,,,,,,,,,,,,,,,,,,
,Q203559,Brigham,,Young,,,,,,,,,,,,,,,,,,
,Q6778849,Mary ,Ann Angell,Young,,Angell,,,,,,,,,,,,,,,,
,Q727001,Sidney,,Rigdon,,,,,,,,,,,,,,,,,,
,Q982343,Oliver,,Cowdery,,,,,,,,,,,,,,,,,,
,Q7231650,Porter,,Rockwell,,,,,,,,,,,,,,,,,,
,Q8000530,William,"""Wild Bill""",Hickman,,,,,,,,,,,,,,,,,,
,Q5907303,Hosea,,Stout,,,,,,,,,,,,,,,,,,
