Aaron Eckhart,Aaron , ,Eckhart
Abraham O. Smoot,Abraham ,O. ,Smoot
Albert Carrington,Albert , ,Carrington
Albert E. Bowen,Albert ,E. ,Bowen
Alexander Hale Smith,Alexander ,Hale ,Smith
Alonzo A. Hinckley,Alonzo ,A. ,Hinckley
Alpheus Cutler,Alpheus , ,Cutler
Anne Perry,Anne , ,Perry
Anthony W. Ivins,Anthony ,W. ,Ivins
Archibald Gardner,Archibald , ,Gardner
Armand Mauss,Armand , ,Mauss
B. H. Roberts,B. ,H. ,Roberts
Bathsheba W. Smith,Bathsheba ,W. ,Smith
Benjamin Urrutia,Benjamin , ,Urrutia
Benjamin Winchester,Benjamin , ,Winchester
Bertel Thorvaldsen,Bertel , ,Thorvaldsen
Billy Barty,Billy , ,Barty
Bo Gritz,Bo , ,Gritz
Boyd K. Packer,Boyd ,K. ,Packer
Brandon Flowers,Brandon , ,Flowers
Brigham Henry Roberts,Brigham ,Henry ,Roberts
Brigham Young,Brigham , ,Young
"Brigham Young, Jr.",Brigham ,"Young, ",Jr.
Bruce R. McConkie,Bruce ,R. ,McConkie
Butch Cassidy,Butch , ,Cassidy
Carmen Rasmusen,Carmen , ,Rasmusen
Charles Roscoe Savage,Charles ,Roscoe ,Savage
D. Michael Quinn,D. ,Michael ,Quinn
D. Todd Christofferson,D. ,Todd ,Christofferson
Dale Morgan,Dale , ,Morgan
Dale Murphy,Dale , ,Murphy
Dallin H. Oaks,Dallin ,H. ,Oaks
Dan Vogel,Dan , ,Vogel
Daniel H. Wells,Daniel ,H. ,Wells
David A. Bednar,David ,A. ,Bednar
David B. Haight,David ,B. ,Haight
David King Udall,David ,King ,Udall
David O. McKay,David ,O. ,McKay
David W. Patten,David ,W. ,Patten
David Whitmer,David , ,Whitmer
Davis Bitton,Davis , ,Bitton
Dean C. Jessee,Dean ,C. ,Jessee
Dean Lowe May,Dean ,Lowe ,May
Dieter F. Uchtdorf,Dieter ,F. ,Uchtdorf
Don Bluth,Don , ,Bluth
Donny Osmond,Donny , ,Osmond
Dudley Leavitt,Dudley , ,Leavitt
Earl W. Bascom,Earl ,W. ,Bascom
Edward H. Anderson,Edward ,H. ,Anderson
Edward Stevenson,Edward , ,Stevenson
Elijah Abel,Elijah , ,Abel
Eliza Roxcy Snow,Eliza ,Roxcy ,Snow
Elizabeth Ann Whitney,Elizabeth ,Ann ,Whitney
Elizabeth Smart,Elizabeth , ,Smart
Emma Hale Smith,Emma ,Hale ,Smith
Emma Lee French,Emma ,Lee ,French
Ephraim Hanks,Ephraim , ,Hanks
Erastus Snow,Erastus , ,Snow
Ezra T. Benson,Ezra ,T. ,Benson
Ezra Taft Benson,Ezra ,Taft ,Benson
Fawn M. Brodie,Fawn ,M. ,Brodie
Francis M. Lyman,Francis ,M. ,Lyman
Franklin D. Richards,Franklin ,D. ,Richards
Frederick Madison Smith,Frederick ,Madison ,Smith
George A. Smith,George ,A. ,Smith
George Albert Smith,George ,Albert ,Smith
George M. Hinkle,George ,M. ,Hinkle
George Q. Cannon,George ,Q. ,Cannon
George Teasdale,George , ,Teasdale
Gladys Knight,Gladys , ,Knight
Glen A. Larson,Glen ,A. ,Larson
Glenn Beck,Glenn , ,Beck
Gordon B. Hinckley,Gordon ,B. ,Hinckley
Gordon Jump,Gordon , ,Jump
Grant H. Palmer,Grant ,H. ,Palmer
Gregory Prince,Gregory , ,Prince
