"Solomon Mack is born at Lyme, Connecticut.",1732-09-15,1732-09-15
"Solomon Mack and Lydia Gates marry at the Second Congregational Church, East Haddam, Connecticut.",1759-01-04,1759-01-04
"Jason Mack, Lucy's oldest brother, and the first of the seven children, is born.",1760-01-01,1760-01-01
"Lovisa Mack, Lucy's oldest sister, is born.",1761-01-01,1761-01-01
"Lovina Mack, Lucy's second sister, is born.",1762-01-01,1762-01-01
"Lydia Mack, Lucy's third sister, is born.",1764-01-01,1764-01-01
"Stephen Mack, Lucy's brother, is born.",1766-06-15,1766-06-15
"Daniel Gates Mack, Lucy's brother, is born.",1770-01-01,1770-01-01
"Joseph Smith Sr. is born at Topsfield, Massachusetts.",1771-07-12,1771-07-12
"Solomon Mack Jr., Lucy's brother, is born.",1773-01-28,1773-01-28
"Lucy Mack is born at Gilsum, New Hampshire. She gives her own birth year as 1776, making her a year younger than her actual age.",1775-07-08,1775-07-08
"Solomon and Lydia Mack move their family from Gilsum, New Hampshire, to Montague, Massachusetts, where they remain until about 1788.",1779-01-01,1779-01-01
"Lovisa Mack marries Joseph Tuttle at Gilsum, New Hampshire.",1780-01-31,1780-01-31
"Lydia Mack marries Samuel Bill at Gilsum, New Hampshire.",1786-01-26,1786-01-26
"Lovisa Mack Tuttle suffers a serious two-year illness (consumption), is miraculously healed, and enjoys three years of good health (ca. 1791-94).",1789-01-01,1792-01-01
"For about six months, Lucy visits sister Lovisa at South Hadley where she rings the newly hung bell.",1792-01-01,1792-01-01
"Lovina Mack, unmarried, dies of consumption after a three-year illness through which Lucy nurses her. Lucy is approximately sixteen through nineteen (rather than thirteen as she says). Thirty-three-year-old Lovisa Mack Tuttle dies en route from South Hadley to Gilsum with her father. She leaves no children and is buried next to Lovina.",1794-01-01,1794-01-01
"Lucy lives with her brother, Stephen, at Tunbridge, Vermont, for about a year.",1794-01-01,1796-01-01
"Lucy returns to her parents' house briefly, then returns to Stephen's.",1795-01-01,1795-01-01
"Lucy Mack and Joseph Smith are married in Tunbridge, Vermont, by Seth Austin.",1796-01-24,1796-01-24
Lucy and Joseph's first child dies at birth. (See chap. 9 notes for a discussion of this child's gender.),1797-01-01,1797-01-01
"Joseph Sr., brother Jesse, and father Asael Smith help found a Universalist society in Tunbridge.",1797-12-06,1797-12-06
"Alvin Smith is born at Tunbridge, Vermont.",1798-02-11,1798-02-11
"Hyrum Smith is born at Tunbridge, Vermont.",1800-02-09,1800-02-09
"Brigham Young is born at Whitingham, Vermont; he is four years older than Joseph Jr.",1801-06-01,1801-06-01
"The Smiths move to Randolph, Orange County, Vermont, seven miles away, where Joseph Smith Sr. opens a store that proves unsuccessful. Lucy becomes very ill and is healed during a conversion experience. Joseph Sr. is defrauded in his ginseng venture and moves the family back to Tunbridge.",1802-01-01,1802-01-01
